vehicle,type,fuel,official_mileage,condition,distance_km,avg_speed_kmph,duration_hr,real_mileage,fuel_used_litre
Honda Activa,Bike,Petrol,50,Mixed,123,56.06,2.19,43.63,2.82
Maruti Swift,Car,Petrol,22,City_Moderate,297,41.05,7.24,13.99,21.24
Honda Activa,Bike,Petrol,50,City_Moderate,164,40.95,4.0,36.07,4.55
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,81,57.83,1.4,33.81,2.4
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,262,70.98,3.69,42.74,6.13
Honda Activa,Bike,Petrol,50,Highway_Light,150,76.17,1.97,47.99,3.13
Maruti Swift,Car,Petrol,22,City_Heavy,171,24.49,6.98,10.68,16.01
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,284,12.57,22.6,14.11,20.13
Honda Activa,Bike,Petrol,50,Highway_Light,222,73.49,3.02,45.52,4.88
Hyundai Creta,Car,Diesel,21,Mixed,113,42.38,2.67,18.5,6.11
Honda Activa,Bike,Petrol,50,Mixed,357,57.87,6.17,35.86,9.96
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,357,14.53,24.56,21.61,16.52
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,200,36.06,5.55,23.48,8.52
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,448,64.01,7.0,30.32,14.77
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,153,70.85,2.16,32.32,4.73
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,71,38.32,1.85,32.34,2.2
Honda Activa,Bike,Petrol,50,Highway_Light,263,67.61,3.89,46.62,5.64
Maruti Swift,Car,Petrol,22,City_Moderate,176,41.55,4.24,13.43,13.1
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,358,53.39,6.71,28.4,12.6
Hyundai Creta,Car,Diesel,21,City_Moderate,154,39.06,3.94,14.0,11.0
Toyota Innova,Car,Diesel,15,Highway_Light,337,85.4,3.95,14.94,22.56
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,315,38.4,8.2,33.79,9.32
Honda Activa,Bike,Petrol,50,Mixed,125,64.65,1.93,35.97,3.48
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,404,86.6,4.67,40.51,9.97
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,148,17.65,8.39,25.16,5.88
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,119,66.1,1.8,41.04,2.9
Honda Activa,Bike,Petrol,50,Highway_Light,364,90.74,4.01,49.96,7.29
Hyundai Creta,Car,Diesel,21,City_Heavy,290,20.42,14.2,9.42,30.77
Maruti Swift,Car,Petrol,22,Mixed,470,63.64,7.39,18.14,25.9
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,276,37.67,7.33,34.78,7.94
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,146,27.94,5.23,22.12,6.6
Toyota Innova,Car,Diesel,15,Mixed,241,50.8,4.74,11.18,21.55
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,479,14.78,32.41,14.61,32.78
Honda Activa,Bike,Petrol,50,City_Heavy,327,17.94,18.23,25.1,13.03
Hyundai Creta,Car,Diesel,21,Mixed,200,66.2,3.02,16.58,12.06
Hyundai Creta,Car,Diesel,21,Mixed,410,54.91,7.47,15.38,26.66
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,105,17.82,5.89,20.95,5.01
Toyota Innova,Car,Diesel,15,City_Heavy,53,12.33,4.3,7.5,7.06
Honda Activa,Bike,Petrol,50,City_Heavy,295,23.49,12.56,28.17,10.47
Maruti Swift,Car,Petrol,22,City_Moderate,466,45.15,10.32,15.54,29.98
Hyundai Creta,Car,Diesel,21,City_Moderate,440,45.47,9.68,15.92,27.64
Maruti Swift,Car,Petrol,22,Mixed,167,45.21,3.69,16.82,9.93
Maruti Swift,Car,Petrol,22,Mixed,470,68.72,6.84,18.46,25.46
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,270,26.45,10.21,23.16,11.66
Hyundai Creta,Car,Diesel,21,City_Moderate,314,32.84,9.56,13.16,23.87
Toyota Innova,Car,Diesel,15,City_Heavy,325,22.13,14.69,7.82,41.56
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,385,16.35,23.55,19.35,19.89
Honda Activa,Bike,Petrol,50,Highway_Light,394,65.85,5.98,49.76,7.92
Hyundai Creta,Car,Diesel,21,City_Heavy,396,19.56,20.24,9.94,39.82
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,83,49.08,1.69,24.54,3.38
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,292,12.44,23.47,17.85,16.36
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,35,20.12,1.74,23.35,1.5
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,320,94.06,3.4,33.04,9.69
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,47,58.59,0.8,24.5,1.92
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,471,17.73,26.57,23.85,19.75
Maruti Swift,Car,Petrol,22,Highway_Light,422,78.39,5.38,21.04,20.06
Toyota Innova,Car,Diesel,15,City_Heavy,271,25.09,10.8,6.17,43.89
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,467,29.67,15.74,23.58,19.81
Hyundai Creta,Car,Diesel,21,Mixed,103,42.24,2.44,15.7,6.56
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,498,27.53,18.09,26.48,18.81
Maruti Swift,Car,Petrol,22,City_Moderate,256,40.45,6.33,16.25,15.76
Hyundai Creta,Car,Diesel,21,City_Heavy,44,26.28,1.67,11.06,3.98
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,312,45.21,6.9,37.04,8.42
Hyundai Creta,Car,Diesel,21,Highway_Light,426,77.04,5.53,20.28,21.01
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,120,35.12,3.42,28.18,4.26
Maruti Swift,Car,Petrol,22,City_Moderate,487,34.19,14.24,16.08,30.29
Hyundai Creta,Car,Diesel,21,City_Moderate,18,29.42,0.61,14.34,1.26
Maruti Swift,Car,Petrol,22,City_Moderate,137,25.28,5.42,14.9,9.19
Hyundai Creta,Car,Diesel,21,City_Heavy,223,18.37,12.14,10.15,21.98
Toyota Innova,Car,Diesel,15,Mixed,153,62.81,2.44,12.87,11.89
Toyota Innova,Car,Diesel,15,City_Moderate,427,40.47,10.55,9.41,45.37
Honda Activa,Bike,Petrol,50,Mixed,478,47.24,10.12,38.24,12.5
Honda Activa,Bike,Petrol,50,City_Heavy,342,11.29,30.29,29.76,11.49
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,469,64.39,7.28,40.69,11.53
Honda Activa,Bike,Petrol,50,Mixed,195,54.98,3.55,40.48,4.82
Hyundai Creta,Car,Diesel,21,Mixed,121,54.65,2.21,15.82,7.65
Maruti Swift,Car,Petrol,22,Mixed,56,47.3,1.18,16.06,3.49
Honda Activa,Bike,Petrol,50,Mixed,231,51.28,4.5,41.52,5.56
Toyota Innova,Car,Diesel,15,City_Heavy,426,17.85,23.87,7.18,59.3
Maruti Swift,Car,Petrol,22,Mixed,117,68.66,1.7,19.61,5.97
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,397,68.28,5.81,38.58,10.29
Honda Activa,Bike,Petrol,50,City_Heavy,52,15.09,3.45,28.09,1.85
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,318,70.12,4.53,44.28,7.18
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,288,85.49,3.37,44.02,6.54
Toyota Innova,Car,Diesel,15,Highway_Light,447,78.0,5.73,14.49,30.85
Maruti Swift,Car,Petrol,22,City_Heavy,405,11.33,35.74,9.8,41.33
Hyundai Creta,Car,Diesel,21,City_Moderate,471,27.64,17.04,14.78,31.87
Maruti Swift,Car,Petrol,22,Mixed,91,60.41,1.51,19.75,4.61
Maruti Swift,Car,Petrol,22,City_Heavy,91,24.33,3.74,8.98,10.13
Maruti Swift,Car,Petrol,22,Highway_Light,412,64.21,6.42,19.96,20.64
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,152,89.5,1.7,31.62,4.81
Honda Activa,Bike,Petrol,50,City_Moderate,370,49.79,7.43,33.53,11.03
Toyota Innova,Car,Diesel,15,City_Moderate,215,41.53,5.18,11.91,18.05
Hyundai Creta,Car,Diesel,21,Highway_Light,495,76.49,6.47,19.29,25.66
Toyota Innova,Car,Diesel,15,Highway_Light,356,62.75,5.67,14.32,24.85
Hyundai Creta,Car,Diesel,21,City_Moderate,115,27.05,4.25,14.38,8.0
Honda Activa,Bike,Petrol,50,City_Heavy,227,25.65,8.85,29.68,7.65
Honda Activa,Bike,Petrol,50,City_Moderate,333,34.55,9.64,32.28,10.32
Maruti Swift,Car,Petrol,22,Mixed,53,47.66,1.11,16.31,3.25
Maruti Swift,Car,Petrol,22,Highway_Light,109,85.76,1.27,20.37,5.35
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,194,66.87,2.9,36.27,5.35
Toyota Innova,Car,Diesel,15,Mixed,168,48.78,3.44,11.47,14.65
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,378,37.15,10.17,35.82,10.55
Honda Activa,Bike,Petrol,50,Mixed,404,64.35,6.28,44.2,9.14
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,15,41.31,0.36,37.41,0.4
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,406,68.98,5.89,31.89,12.73
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,319,21.0,15.19,21.35,14.94
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,118,48.58,2.43,23.72,4.97
Hyundai Creta,Car,Diesel,21,Highway_Light,217,87.04,2.49,19.41,11.18
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,117,59.37,1.97,27.97,4.18
Toyota Innova,Car,Diesel,15,City_Heavy,36,16.34,2.2,6.86,5.25
Toyota Innova,Car,Diesel,15,Highway_Light,272,96.76,2.81,14.82,18.35
Maruti Swift,Car,Petrol,22,City_Heavy,401,14.42,27.81,9.91,40.46
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,306,43.21,7.08,35.81,8.55
Hyundai Creta,Car,Diesel,21,City_Heavy,240,11.08,21.67,11.66,20.58
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,154,49.62,3.1,29.88,5.15
Toyota Innova,Car,Diesel,15,City_Moderate,289,43.2,6.69,11.81,24.47
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,217,43.15,5.03,27.97,7.76
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,99,54.65,1.81,30.22,3.28
Toyota Innova,Car,Diesel,15,Highway_Light,48,89.31,0.54,13.73,3.5
Honda Activa,Bike,Petrol,50,City_Moderate,193,43.59,4.43,35.42,5.45
Honda Activa,Bike,Petrol,50,Mixed,122,56.95,2.14,41.12,2.97
Hyundai Creta,Car,Diesel,21,City_Heavy,299,21.54,13.88,11.29,26.48
Toyota Innova,Car,Diesel,15,Mixed,233,44.8,5.2,13.13,17.74
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,148,26.24,5.64,22.15,6.68
Hyundai Creta,Car,Diesel,21,Highway_Light,7,99.67,0.07,20.46,0.34
Hyundai Creta,Car,Diesel,21,Highway_Light,228,95.19,2.4,19.11,11.93
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,477,82.2,5.8,43.46,10.98
Honda Activa,Bike,Petrol,50,Mixed,235,58.45,4.02,42.33,5.55
Honda Activa,Bike,Petrol,50,Highway_Light,116,91.35,1.27,48.44,2.39
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,90,65.44,1.38,28.38,3.17
Hyundai Creta,Car,Diesel,21,Mixed,16,62.37,0.26,18.23,0.88
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,422,62.76,6.72,33.32,12.66
Toyota Innova,Car,Diesel,15,City_Moderate,404,28.72,14.07,11.04,36.61
Honda Activa,Bike,Petrol,50,City_Moderate,316,37.55,8.42,33.06,9.56
Maruti Swift,Car,Petrol,22,City_Moderate,115,36.22,3.18,13.75,8.36
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,28,14.34,1.95,24.5,1.14
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,234,18.25,12.82,14.96,15.64
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,409,61.16,6.69,33.93,12.05
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,192,25.88,7.42,19.5,9.85
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,123,94.97,1.3,31.83,3.86
Maruti Swift,Car,Petrol,22,Highway_Light,7,62.59,0.11,20.92,0.33
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,59,61.09,0.97,36.72,1.61
Maruti Swift,Car,Petrol,22,City_Heavy,28,23.53,1.19,9.03,3.1
Maruti Swift,Car,Petrol,22,Highway_Light,163,60.92,2.68,21.57,7.56
Toyota Innova,Car,Diesel,15,Mixed,323,42.31,7.63,11.47,28.17
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,113,24.92,4.53,14.41,7.84
Honda Activa,Bike,Petrol,50,Highway_Light,121,91.54,1.32,49.91,2.42
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,436,17.47,24.96,22.66,19.24
Toyota Innova,Car,Diesel,15,Highway_Light,117,77.36,1.51,13.68,8.55
Maruti Swift,Car,Petrol,22,Mixed,120,41.88,2.87,15.79,7.6
Honda Activa,Bike,Petrol,50,Mixed,307,69.95,4.39,43.01,7.14
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,305,66.94,4.56,44.7,6.82
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,152,91.43,1.66,33.73,4.51
Toyota Innova,Car,Diesel,15,Highway_Light,202,99.65,2.03,13.68,14.77
Maruti Swift,Car,Petrol,22,Mixed,363,57.16,6.35,18.69,19.42
Toyota Innova,Car,Diesel,15,City_Moderate,65,49.49,1.31,10.76,6.04
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,111,60.97,1.82,41.24,2.69
Honda Activa,Bike,Petrol,50,Highway_Light,497,87.91,5.65,49.16,10.11
Honda Activa,Bike,Petrol,50,City_Heavy,55,28.81,1.91,29.3,1.88
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,306,14.51,21.09,20.33,15.05
Maruti Swift,Car,Petrol,22,Highway_Light,324,67.44,4.8,20.63,15.71
Hyundai Creta,Car,Diesel,21,Mixed,78,68.12,1.15,18.07,4.32
Honda Activa,Bike,Petrol,50,City_Moderate,94,27.02,3.48,37.06,2.54
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,423,18.74,22.58,24.55,17.23
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,330,62.29,5.3,43.78,7.54
Toyota Innova,Car,Diesel,15,City_Heavy,368,12.71,28.96,6.68,55.13
Honda Activa,Bike,Petrol,50,Highway_Light,156,78.88,1.98,48.76,3.2
Honda Activa,Bike,Petrol,50,Highway_Light,412,62.28,6.62,45.07,9.14
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,224,31.89,7.02,29.54,7.58
Honda Activa,Bike,Petrol,50,Mixed,274,47.49,5.77,37.76,7.26
Maruti Swift,Car,Petrol,22,Mixed,186,52.87,3.52,16.6,11.21
Toyota Innova,Car,Diesel,15,Highway_Light,74,62.61,1.18,14.77,5.01
Honda Activa,Bike,Petrol,50,Mixed,188,41.4,4.54,39.88,4.71
Maruti Swift,Car,Petrol,22,Highway_Light,367,65.57,5.6,21.16,17.34
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,421,63.16,6.67,36.29,11.6
Hyundai Creta,Car,Diesel,21,Mixed,403,40.65,9.91,15.06,26.75
Maruti Swift,Car,Petrol,22,Mixed,152,43.84,3.47,18.32,8.3
Hyundai Creta,Car,Diesel,21,City_Heavy,409,11.05,37.03,12.1,33.79
Maruti Swift,Car,Petrol,22,City_Moderate,388,40.61,9.55,15.04,25.79
Hyundai Creta,Car,Diesel,21,Mixed,25,47.7,0.52,16.78,1.49
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,222,29.78,7.45,32.89,6.75
Hyundai Creta,Car,Diesel,21,Mixed,375,69.16,5.42,16.12,23.26
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,449,12.28,36.56,23.48,19.13
Honda Activa,Bike,Petrol,50,City_Moderate,200,35.45,5.64,31.51,6.35
Maruti Swift,Car,Petrol,22,Highway_Light,90,82.45,1.09,20.0,4.5
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,65,46.82,1.39,28.16,2.31
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,47,11.35,4.14,16.83,2.79
Honda Activa,Bike,Petrol,50,City_Moderate,21,40.32,0.52,37.08,0.57
Honda Activa,Bike,Petrol,50,Mixed,102,54.54,1.87,37.26,2.74
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,6,23.28,0.26,15.16,0.4
Hyundai Creta,Car,Diesel,21,City_Moderate,334,36.56,9.14,13.51,24.73
Hyundai Creta,Car,Diesel,21,City_Moderate,129,43.73,2.95,14.33,9.0
Toyota Innova,Car,Diesel,15,City_Moderate,499,37.81,13.2,9.87,50.55
Maruti Swift,Car,Petrol,22,City_Heavy,142,29.56,4.8,12.35,11.5
Maruti Swift,Car,Petrol,22,City_Heavy,53,14.03,3.78,12.29,4.31
Maruti Swift,Car,Petrol,22,City_Moderate,24,38.62,0.62,14.34,1.67
Toyota Innova,Car,Diesel,15,Mixed,376,55.58,6.76,12.78,29.43
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,217,41.49,5.23,28.84,7.52
Maruti Swift,Car,Petrol,22,Mixed,274,47.16,5.81,16.11,17.01
Honda Activa,Bike,Petrol,50,City_Heavy,62,25.01,2.48,24.51,2.53
Hyundai Creta,Car,Diesel,21,Mixed,70,41.96,1.67,17.04,4.11
Honda Activa,Bike,Petrol,50,Highway_Light,460,71.3,6.45,47.32,9.72
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,231,12.11,19.08,21.52,10.74
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,93,17.95,5.18,18.6,5.0
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,201,98.58,2.04,40.92,4.91
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,78,42.82,1.82,33.33,2.34
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,301,83.1,3.62,32.75,9.19
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,59,41.07,1.44,32.71,1.8
Hyundai Creta,Car,Diesel,21,Highway_Light,242,81.32,2.98,19.31,12.53
Honda Activa,Bike,Petrol,50,City_Moderate,472,38.95,12.12,31.58,14.95
Toyota Innova,Car,Diesel,15,Mixed,340,65.72,5.17,11.0,30.91
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,118,45.07,2.62,30.84,3.83
Toyota Innova,Car,Diesel,15,City_Moderate,224,30.05,7.45,10.52,21.29
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,105,24.65,4.26,15.29,6.87
Toyota Innova,Car,Diesel,15,City_Moderate,105,36.01,2.92,11.46,9.16
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,250,27.14,9.21,18.31,13.66
Hyundai Creta,Car,Diesel,21,Mixed,399,55.16,7.23,15.19,26.26
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,67,79.41,0.84,44.85,1.49
Hyundai Creta,Car,Diesel,21,Highway_Light,162,85.39,1.9,19.16,8.46
Toyota Innova,Car,Diesel,15,Highway_Light,106,99.19,1.07,13.75,7.71
Toyota Innova,Car,Diesel,15,Highway_Light,132,60.5,2.18,14.48,9.11
Toyota Innova,Car,Diesel,15,City_Heavy,357,10.59,33.72,7.68,46.49
Honda Activa,Bike,Petrol,50,City_Heavy,158,11.59,13.63,28.23,5.6
Toyota Innova,Car,Diesel,15,Highway_Light,193,73.47,2.63,14.6,13.22
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,490,56.22,8.72,26.58,18.44
Hyundai Creta,Car,Diesel,21,City_Heavy,432,29.76,14.52,11.38,37.95
Maruti Swift,Car,Petrol,22,Mixed,368,53.78,6.84,19.37,19.0
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,230,92.77,2.48,42.11,5.46
Honda Activa,Bike,Petrol,50,Highway_Light,290,66.95,4.33,49.4,5.87
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,252,27.18,9.27,33.41,7.54
Toyota Innova,Car,Diesel,15,Highway_Light,167,65.68,2.54,14.58,11.46
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,435,29.78,14.61,23.44,18.56
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,283,22.42,12.62,23.52,12.03
Honda Activa,Bike,Petrol,50,City_Moderate,329,45.15,7.29,33.52,9.81
Toyota Innova,Car,Diesel,15,Mixed,351,59.02,5.95,13.03,26.94
Maruti Swift,Car,Petrol,22,Mixed,276,43.19,6.39,15.96,17.3
Toyota Innova,Car,Diesel,15,City_Moderate,252,26.74,9.42,9.94,25.34
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,205,41.38,4.95,28.57,7.17
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,251,48.38,5.19,40.43,6.21
Hyundai Creta,Car,Diesel,21,Highway_Light,8,94.66,0.08,20.25,0.4
Hyundai Creta,Car,Diesel,21,City_Moderate,147,30.32,4.85,13.51,10.88
Toyota Innova,Car,Diesel,15,Highway_Light,121,76.33,1.59,13.55,8.93
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,488,27.42,17.79,19.31,25.27
Honda Activa,Bike,Petrol,50,Highway_Light,359,62.36,5.76,48.83,7.35
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,119,67.22,1.77,39.59,3.01
Maruti Swift,Car,Petrol,22,City_Heavy,411,13.38,30.71,11.75,34.98
Honda Activa,Bike,Petrol,50,Highway_Light,50,78.41,0.64,46.95,1.06
Toyota Innova,Car,Diesel,15,Highway_Light,332,65.15,5.1,14.8,22.44
Honda Activa,Bike,Petrol,50,Mixed,338,54.37,6.22,39.13,8.64
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,428,62.2,6.88,24.63,17.38
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,219,12.55,17.45,20.43,10.72
Hyundai Creta,Car,Diesel,21,City_Heavy,114,28.22,4.04,11.37,10.02
Hyundai Creta,Car,Diesel,21,City_Moderate,205,45.99,4.46,15.77,13.0
Toyota Innova,Car,Diesel,15,City_Heavy,210,24.53,8.56,8.95,23.48
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,379,55.98,6.77,26.63,14.23
Honda Activa,Bike,Petrol,50,City_Heavy,402,14.37,27.98,26.35,15.26
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,168,63.86,2.63,41.04,4.09
Toyota Innova,Car,Diesel,15,City_Heavy,324,21.34,15.18,6.73,48.17
Toyota Innova,Car,Diesel,15,City_Moderate,146,39.96,3.65,9.85,14.82
Hyundai Creta,Car,Diesel,21,City_Heavy,447,24.6,18.17,9.65,46.33
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,72,27.54,2.61,18.19,3.96
Bajaj Pulsar 150,Bike,Petrol,45,Highway_Light,129,83.73,1.54,44.45,2.9
Honda Activa,Bike,Petrol,50,City_Moderate,131,40.65,3.22,38.92,3.37
Toyota Innova,Car,Diesel,15,Mixed,66,63.84,1.03,12.09,5.46
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,39,31.69,1.23,21.24,1.84
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,473,38.04,12.44,26.52,17.83
Maruti Swift,Car,Petrol,22,Mixed,280,46.61,6.01,15.68,17.86
Honda Activa,Bike,Petrol,50,City_Moderate,205,47.74,4.29,34.88,5.88
Maruti Swift,Car,Petrol,22,Mixed,469,41.94,11.18,18.34,25.57
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,12,20.35,0.59,20.69,0.58
Maruti Swift,Car,Petrol,22,City_Heavy,336,28.21,11.91,10.69,31.42
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,19,58.06,0.33,35.68,0.53
Honda Activa,Bike,Petrol,50,City_Moderate,97,29.26,3.31,38.93,2.49
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,42,39.79,1.06,35.53,1.18
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,136,23.53,5.78,18.92,7.19
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,264,17.69,14.92,14.92,17.69
Royal Enfield Classic 350,Bike,Petrol,35,Mixed,346,47.88,7.23,27.91,12.4
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,351,43.59,8.05,22.9,15.33
Toyota Innova,Car,Diesel,15,Mixed,91,52.21,1.74,12.02,7.57
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,214,50.86,4.21,39.52,5.41
Royal Enfield Classic 350,Bike,Petrol,35,City_Moderate,222,47.68,4.66,24.31,9.13
Maruti Swift,Car,Petrol,22,City_Heavy,366,29.43,12.44,9.85,37.15
Maruti Swift,Car,Petrol,22,City_Heavy,245,22.45,10.91,10.26,23.88
Honda Activa,Bike,Petrol,50,Mixed,436,48.42,9.0,39.7,10.98
Toyota Innova,Car,Diesel,15,City_Heavy,145,20.74,6.99,6.62,21.9
Hyundai Creta,Car,Diesel,21,Highway_Light,373,68.76,5.42,20.69,18.02
Hyundai Creta,Car,Diesel,21,City_Heavy,384,15.7,24.46,8.55,44.89
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,249,21.44,11.61,17.24,14.44
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,367,61.78,5.94,33.29,11.02
Toyota Innova,Car,Diesel,15,Highway_Light,348,63.48,5.48,13.92,25.01
Honda Activa,Bike,Petrol,50,Highway_Light,348,81.26,4.28,48.09,7.24
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,187,66.23,2.82,39.42,4.74
Hyundai Creta,Car,Diesel,21,City_Heavy,271,10.9,24.87,10.47,25.88
Hyundai Creta,Car,Diesel,21,City_Heavy,131,15.49,8.45,10.29,12.73
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,112,24.6,4.55,21.55,5.2
Toyota Innova,Car,Diesel,15,City_Moderate,449,42.85,10.48,11.65,38.55
Maruti Swift,Car,Petrol,22,City_Heavy,244,15.93,15.31,11.47,21.26
Hyundai Creta,Car,Diesel,21,Mixed,480,64.64,7.43,17.72,27.09
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,351,10.04,34.95,18.01,19.48
Hyundai Creta,Car,Diesel,21,Mixed,435,41.79,10.41,17.71,24.56
Hyundai Creta,Car,Diesel,21,City_Heavy,342,15.13,22.6,10.94,31.27
Bajaj Pulsar 150,Bike,Petrol,45,City_Moderate,165,36.41,4.53,32.99,5.0
Royal Enfield Classic 350,Bike,Petrol,35,City_Heavy,151,21.93,6.89,16.58,9.11
Hyundai Creta,Car,Diesel,21,City_Moderate,117,26.78,4.37,14.91,7.85
Royal Enfield Classic 350,Bike,Petrol,35,Highway_Light,147,89.99,1.63,31.78,4.63
Toyota Innova,Car,Diesel,15,Highway_Light,289,87.15,3.32,14.12,20.47
Hyundai Creta,Car,Diesel,21,Mixed,335,57.96,5.78,16.22,20.65
Bajaj Pulsar 150,Bike,Petrol,45,Mixed,55,67.4,0.82,36.02,1.53
Bajaj Pulsar 150,Bike,Petrol,45,City_Heavy,32,13.44,2.38,23.51,1.36
